market_id,market,countryiso3,admin1,admin2,latitude,longitude
10392,Matanomanne,KEN,Coast,Kilifi,-3.4,39.78
10393,Alungu,KEN,North Eastern,Mandera,3.05,41.06
10394,Suq Jini,KEN,North Eastern,Mandera,3.15,41.18
10395,Warankara,KEN,North Eastern,Mandera,3.41,41.01
10396,Shimbir Fatuma,KEN,North Eastern,Mandera,3.03,40.51
10397,Wargadud,KEN,North Eastern,Mandera,3.18,40.87
10398,Banissa,KEN,North Eastern,Mandera,3.94,40.34
10399,Kiliwaheri,KEN,North Eastern,Mandera,3.92,40.01
10400,Ashabito,KEN,North Eastern,Mandera,3.55,40.87
10401,Kargi South Horr,KEN,Eastern,Marsabit,2.1,36.92
10402,Ngurunit,KEN,Rift Valley,Samburu,1.74,37.31
10403,Kamboe,KEN,Eastern,Marsabit,2.11,37.89
10404,Loglogo,KEN,Eastern,Marsabit,1.99,37.92
10405,Sololo Mukutano,KEN,Eastern,Moyale,3.51,38.65
10406,Walda,KEN,Eastern,Moyale,3.45,38.52
10407,Dambala Fachana,KEN,Eastern,Moyale,3.51,38.75
10408,Dirib,KEN,Eastern,Marsabit,2.29,38.06
10409,Dub Goba,KEN,Eastern,Marsabit,2.33,38.03
10410,Songa,KEN,Eastern,Marsabit,2.25,38
10411,Karare,KEN,Eastern,Marsabit,2.21,37.89
10412,Kiltamany,KEN,Rift Valley,Samburu,0.65,37.48
10413,Laresoro,KEN,Rift Valley,Samburu,0.71,37.64
10414,Lerata,KEN,Rift Valley,Samburu,0.78,37.52
10415,Marti E Pareu,KEN,Rift Valley,Samburu,1.54,37.31
10416,Ndonyowasi,KEN,Rift Valley,Samburu,1.36,37.44
10417,Ngilai,KEN,Rift Valley,Samburu,1.15,37.26
10418,Swari,KEN,Rift Valley,Samburu,1.1,37.07
10419,Waso,KEN,Rift Valley,Samburu,1.13,37.6
10420,Westgate,KEN,Eastern,Isiolo,0.58,37.43
10421,Archers Post,KEN,Rift Valley,Samburu,0.64,37.67
10422,Lkuasi,KEN,Rift Valley,Samburu,1.15,37.02
10423,Lodungokwe,KEN,Rift Valley,Samburu,0.87,37
10424,Barsaloi,KEN,Rift Valley,Samburu,1.34,36.86
10425,Simale,KEN,Rift Valley,Samburu,2.11,36.78
10426,Baragoi,KEN,Rift Valley,Samburu,1.65,37.03
10427,Latakweny,KEN,Rift Valley,Samburu,1.55,37.1
10428,Lesirkan,KEN,Rift Valley,Samburu,1.78,36.97
10429,Marti,KEN,Rift Valley,Samburu,1.78,36.79
10430,Masikita,KEN,Rift Valley,Samburu,1.61,36.95
10431,Nachola,KEN,Rift Valley,Samburu,1.8,36.7
10432,Opiroi,KEN,Rift Valley,Samburu,1.16,36.81
10433,Tuum,KEN,Rift Valley,Samburu,2.15,36.77
10434,Lolkunono,KEN,Rift Valley,Samburu,1.08,36.6
10435,Porro,KEN,Rift Valley,Samburu,1.22,36.6
10436,Sura Adoru,KEN,Rift Valley,Samburu,0.79,36.9
10437,Kirimon,KEN,Rift Valley,Samburu,0.74,36.88
10438,Bangale,KEN,Coast,Tana River,-0.72,39.02
10439,Bilbil,KEN,Coast,Tana River,-1.01,39.79
10440,Boka,KEN,Coast,Tana River,-0.34,38.78
10441,Adele Center,KEN,Coast,Tana River,-0.47,39.61
10442,Bura,KEN,Coast,Tana River,-1.19,39.84
10443,Charidende,KEN,Coast,Tana River,-0.78,39.67
10444,Hara (Tana River),KEN,Coast,Tana River,-1.86,40.07
10445,Makere,KEN,Coast,Tana River,-1.33,40.01
10446,Waldena,KEN,Coast,Tana River,-1.61,39.03
10447,Wayu,KEN,Coast,Tana River,-1.53,39.58
10448,Garsen,KEN,Coast,Tana River,-2.27,40.11
10449,Minjila,KEN,Coast,Tana River,-2.32,40.11
10450,Kipini,KEN,Coast,Tana River,-2.53,40.53
10451,Tarasaa,KEN,Coast,Tana River,-2.44,40.17
10452,Lorengipi,KEN,Rift Valley,Turkana,2.58,34.99
10453,Namoruputh,KEN,Rift Valley,Turkana,2.84,35.04
10454,Turkwel Centre,KEN,Rift Valley,Turkana,2.92,35.4
10455,Urum,KEN,Rift Valley,Turkana,2.95,34.7
10456,Loturerei,KEN,Rift Valley,Turkana,2.93,35.61
10457,Alemsekon,KEN,Rift Valley,Turkana,3.53,34.82
10458,Eliye Centre,KEN,Rift Valley,Turkana,3.24,36.02
10459,Elelea,KEN,Rift Valley,Turkana,2.1,36.16
10460,Aposta,KEN,Rift Valley,Turkana,4.06,34.52
10461,Kaakelai,KEN,Rift Valley,Turkana,4.52,35.59
10464,Kaeris,KEN,Rift Valley,Turkana,3.98,35.48
10465,Kalemgorok,KEN,Rift Valley,Turkana,2.14,35.5
10466,Kang'akipur,KEN,Rift Valley,Turkana,2.38,36.04
10467,Kasuroi,KEN,Rift Valley,Turkana,2.48,35.66
10468,Kataboi,KEN,Rift Valley,Turkana,3.75,35.83
10469,Kokuro,KEN,Rift Valley,Turkana,4.62,35.71
10489,Lokangae,KEN,Rift Valley,Turkana,4.1,34.9
10490,Lokapel,KEN,Rift Valley,Turkana,2.37,35.42
10491,Lokwii,KEN,Rift Valley,Turkana,1.98,36.1
10492,Lolupe,KEN,Rift Valley,Turkana,3.54,35.25
10493,Lopur,KEN,Rift Valley,Turkana,3.86,34.82
10494,Lotubae,KEN,Rift Valley,Turkana,2.02,36.13
10495,Morulem,KEN,Rift Valley,Turkana,1.98,36.13
10496,Naduat,KEN,Rift Valley,Turkana,3.51,35.19
10497,Nakinomet,KEN,Rift Valley,Turkana,4.58,35.4
10498,Napak,KEN,Rift Valley,Turkana,4.56,35.39
10499,Todonyang,KEN,Rift Valley,Turkana,4.44,35.93
10500,Kimalel Center,KEN,Rift Valley,Baringo,0.47,35.9
10501,Koriema,KEN,Rift Valley,Baringo,0.46,35.86
10502,Loboi Center,KEN,Rift Valley,Baringo,0.36,36.06
10503,Lororo Centre,KEN,Rift Valley,Baringo,0.44,36
10504,Amaya,KEN,Rift Valley,Baringo,0.77,36.41
10505,Chemolingot,KEN,Rift Valley,Baringo,0.99,35.97
10506,Nginyang,KEN,Rift Valley,Baringo,0.95,36.02
10507,Kibwezi,KEN,Eastern,Makueni,-2.41,37.97
10508,Mtito Andei,KEN,Coast,Taita Taveta,-2.69,38.16
10509,Emali,KEN,Eastern,Makueni,-2.08,37.47
