market,commodity,model_track,weight,val_rows,val_mae,val_naive_mae,test_mae,test_mape,naive_test_mae,naive_test_mape,blended_test_mae,blended_test_mape,beats_naive
Kalobeyei (Village 2),Salt,prophet,0.47676805113845355,5,1.579559647068639,6.659999999999999,16.527672958298297,22.235605110399177,11.330000000000002,15.325988493083612,12.089169478447408,15.674403313153777,False
Kalobeyei (Village 2),Sugar,prophet,0.0,5,30.14164907849925,3.9,92.6946950128392,61.90394596959844,3.932000000000005,2.621876279566722,3.932000000000005,2.621876279566722,True
Kalobeyei (Village 2),Wheat flour,prophet,0.0,5,19.041550342557287,7.9,51.61973251315705,59.63952227755972,3.2659999999999996,3.788208033036357,3.2659999999999996,3.788208033036357,True
Kalobeyei (Village 3),Beans (dry),prophet,0.0,4,47.813184963746124,14.1675,72.06660980412799,66.34726596245406,4.0,3.7026971185427024,4.0,3.7026971185427024,True
Kalobeyei (Village 3),Maize flour,prophet,0.0,4,9.41697456825623,4.1675,40.35339517604901,49.75342831428363,1.3319999999999994,1.6317319692787706,1.3319999999999994,1.6317319692787706,True
Kalobeyei (Village 3),Rice,prophet,0.0,4,18.380650839706014,7.0825,34.880378385552646,31.265887799040414,11.0,9.1601624694087,11.0,9.1601624694087,True
Kalobeyei (Village 3),Salt,prophet,0.0,4,6.613825810356843,3.125,23.254479069625734,31.581963042019044,5.0,6.8181818181818175,5.0,6.8181818181818175,True
Kalobeyei (Village 3),Sugar,prophet,0.0,4,17.635851534065893,6.25,61.991029753134264,40.553176450897375,3.0,1.9508241631776848,3.0,1.9508241631776848,True
Kalobeyei (Village 3),Wheat flour,prophet,0.0,4,12.554542976814822,6.25,32.702137209721926,36.93252375668635,3.4659999999999997,3.7618141910141776,3.4659999999999997,3.7618141910141776,True
Kilifi,Beans (dry),prophet,0.0,7,13.254529373266207,3.77142857142857,7.1778115520030825,6.789794925358344,2.3714285714285706,2.2318906438310466,2.3714285714285706,2.2318906438310466,True
Kilifi,Maize (white),prophet,0.025902213791240483,7,3.063683440851198,3.1571428571428575,3.942930494742708,9.477646073778585,2.2857142857142825,5.6791657401040165,2.276561938330548,5.651322249820163,True
Kitui,Beans (dry),prophet,0.0,17,10.216441628338105,3.4647058823529413,6.783015544062575,7.600715400897162,4.3888888888888875,4.9522245182800715,4.3888888888888875,4.9522245182800715,True
Kitui,Maize (white),prophet,0.0,17,8.789690449461476,2.7070588235294117,6.760953335229063,19.06069653978061,2.011111111111111,5.658255993080123,2.011111111111111,5.658255993080123,True
Lodwar (Turkana),Maize (white),prophet,0.0,11,19.51513707938901,3.872727272727272,31.96487998097933,48.300100018032786,2.5454545454545454,3.8287383122949956,2.5454545454545454,3.8287383122949956,True
Mandera,Maize (white),prophet,0.0,14,5.947197022413708,1.7142857142857142,18.85608650652584,23.163450126721465,2.0399999999999996,2.5034220580704907,2.0399999999999996,2.5034220580704907,True
Marigat (Baringo),Beans (dry),prophet,0.1264912662197826,7,5.401483433973161,6.314285714285715,10.877252174852556,8.920305369500598,6.371428571428573,5.463958649060699,5.3261084489129065,4.538943370908755,True
Marigat (Baringo),Maize (white),prophet,0.0,7,3.320433325274007,1.1428571428571428,3.5899496543664435,8.276902709360254,2.0,4.67625344018091,2.0,4.67625344018091,True
Marsabit,Maize (white),prophet,0.0,17,2.9775156128417075,2.176470588235294,2.509177732468107,5.378132511342266,1.7999999999999996,3.8520367965524236,1.7999999999999996,3.8520367965524236,True
Mogadishu (Kakuma),Beans (dry),prophet,0.0,4,54.3630029280377,22.36,72.52385890332833,60.81873971434397,27.502499999999994,23.663584027733762,27.502499999999994,23.663584027733762,True
Mogadishu (Kakuma),Maize flour,prophet,0.0,4,14.977218838239725,7.2925,33.40633083209499,39.52743996979729,4.1659999999999995,4.98519559067408,4.1659999999999995,4.98519559067408,True
Mogadishu (Kakuma),Rice,prophet,0.0,4,59.996892761466334,54.7225,53.070573272791286,40.25943602827344,24.889999999999997,17.97813789378825,24.889999999999997,17.97813789378825,True
Mogadishu (Kakuma),Salt,prophet,0.0,4,14.678816247710891,9.9,18.18361781164868,25.273955820688244,12.08,18.159999999999997,12.08,18.159999999999997,True
